merchant;product_name;sku_code;category;date;status
"Centauro BR";"Camiseta Under Armour Tech SS Tee - Masculina";"942098022031";"Corrida ";"2026-01-20";"Aprovado"
"Vivara BR";"Brinco Dengosa em Ouro Amarelo 18k com Rubi e Diamantes";"33148";"Studs";"2026-06-13";"Pendente"
"Maria Filó BR";"Blusa Silk Fish Bar Sal / M";"39889";"Coleção";"2026-01-15";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menino do Cacto";"2002018";"Temas/Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menina Llama";"2002822";"Temas/Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menino do Cacto";"2003485";"Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menina Pimenta";"2004142";"Temas/Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro da Menina Cogumelo";"2005142";"Temas/Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menina Llama";"2013622";"Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro - Menina Pimenta";"2014942";"Chaveiros LEGO";"2026-03-18";"Aprovado"
"Lego BR";"LEGO® Chaveiro da Menina Cogumelo";"2027314";"Chaveiros LEGO";"2026-03-18";"Aprovado"
"Centauro BR";"Camiseta Regata Unissex CBB Retrô 1994 Basquete Brasil";"98687908";"Basquete";"2026-05-25";"Pendente"
"Nike BR";"Chinelo Nike Offcourt Adjust Feminino";"DV1033002";"Calçados";"2026-01-17";"Aprovado"
"Centauro BR";"Limpa Tênis Oxer Ox Sintético";"752229000001";"Lifestyle";"2026-02-09";"Aprovado"
"Vivara BR";"Pulseira Tommy Hilfiger TH85 em Aço 2790664S";"91326";"Acessórios";"2026-06-02";"Pendente"
"Vivara BR";"Pingente Life Soul Sacola Life em Liga Rosé com Banho de Ouro Rosé 18k";"43739";"Pingente para Pulseiras";"2026-06-20";"Pendente"
"Vivara BR";"Pulseira Life Estrela em Prata 925";"70877";"Tamanho Variável";"2026-06-20";"Pendente"
"Lego BR";"LEGO® Sonic the Hedgehog™ - Chaveiro Shadow";"2005140";"Temas/Sonic the Hedgehog";"2026-04-20";"Aprovado"
"Vivara BR";"Pulseira Life Coração em Prata 925";"48771";"Tamanho Variável";"2026-06-21";"Pendente"
"Centauro BR";"Maiô Adulto Oxer Medley New";"996376022022";"Natação";"2026-02-17";"Aprovado"
"Centauro BR";"Touca de Natação Oxer Silicone Zinny";"98512802";"Aquaticos";"2026-05-04";"Pendente"
"Dafiti BR";"corta vento masculina preta leve com capuz removivel  cinza";"fm482apm35bxc";"roupas";"2026-05-18";"Pendente"
"Kipling BR";"Porta Moedas Kipling Mini Seoul";"379953";"Unknown";"2026-06-12";"Pendente"
"Nike BR";"Tênis Nike SB Zoom Pogo Plus Feminino";"FQ2935600";"Calçados";"2026-03-18";"Aprovado"
"Vivara BR";"Anel Life You and Me em Liga Rosé com Banho de Ouro Rosé 18k e Pedras Incolores";"73260";"Cocktail";"2026-06-23";"Pendente"
"Clovis Calçados BR";"Tênis All Star Pro Blaze Classic Converse CO0555 TAUPE 35";"Tênis All Star Pro Blaze Classic Converse CO0555 TAUPE 35";"Masculino";"2026-05-18";"Aprovado"
"Vivara BR";"Escapulário Life Judaico Religião ll em Prata 925 com Banho de Ouro Amarelo 18k, 70cm";"79459";"Escapulários";"2026-01-13";"Aprovado"
"Vivara BR";"Brinco Gold Blue em Ouro Amarelo 18k com Topázios London";"72154";"Longos e Pendentes";"2026-05-26";"Pendente"
"Nike BR";"Tênis Nike Precision 7 Masculino";"FN4322005";"Calçados";"2026-04-22";"Aprovado"
"Mizuno BR";"Tênis de Corrida Mizuno Neo Vista 2";"10485";"Masculino/Calçados/Corrida";"2026-06-29";"Aprovado"
"Clovis Calçados BR";"Tênis Chuck Taylor All Star Lugged Heel Platform Converse A11635C PRETO 35";"Tênis Chuck Taylor All Star Lugged Heel Platform Converse A11635C PRETO 35";"Feminino";"2026-03-19";"Aprovado"
"Nike BR";"Tênis Nike Blazer Phanton Masculino";"FN5820100";"Calçados";"2026-03-11";"Aprovado"
"Maria Filó BR";"Blusa Tshirt Básica Over Branco / P";"120991";"Coleção";"2026-04-15";"Aprovado"
"Nike BR";"Tênis Nike Air Zoom Bella 7 Feminino";"FZ1689401";"Calçados";"2026-03-25";"Aprovado"
"Vivara BR";"Colar Life Amuleto Infinito em Prata 925 com Banho de Ouro Amarelo 18k, 40cm";"77604";"Colares com Pendentes";"2026-06-03";"Pendente"
"Clovis Calçados BR";"Sandália Feminina Meia Pata Piccadilly 822011 PRATA 37";"Sandália Feminina Meia Pata Piccadilly 822011 PRATA 37";"Feminino";"2026-04-14";"Aprovado"
"Vivara BR";"Pingente Life Soul Sacola Life em Liga Rosé com Banho de Ouro Rosé 18k";"43739";"Pingente para Pulseiras";"2026-06-20";"Pendente"
"Vivara BR";"Pulseira Life Estrela em Prata 925";"70877";"Tamanho Variável";"2026-06-20";"Pendente"
